"ac_type","ac_fl","fl","m_lo","m_nom","m_hi","V_cl_1","V_cl_2","M_cl","V_cr_1","V_cr_2","M_cr","V_des_1","V_des_2","M_des","h_MO","CL_TAS","CL_ROCD_lo_m","CL_ROCD_nom_m","CL_ROCD_hi_m","CL_fuel_nom_m","CR_TAS","CR_fuel_lo_m","CR_fuel_nom_m","CR_fuel_hi_m","DES_TAS","DES_ROCD_nom_m","DES_fuel_nom_m"
"B722","B722_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"454","1540","710","290","83.0","477","60.6","70.8","77.7","454","3160","11.1"
"B722","B722_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"450","1300","480","60","76.0","473","57.1","68.3","71.1","450","3080","10.1"
"B722","B722_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"447","970","220","0","69.5","470","54.3","65.0","65.0","447","2790","9.1"
"B722","B722_speed_laws","none","54480","74000","86400","250","300","0.78","250","350","0.82","250","280","0.78","37000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"B732","B732_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"147","2090","1870","1620","114.9",NULL,NULL,NULL,NULL,"134","690","38.8"
"B732","B732_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"148","2080","1850","1610","114.0",NULL,NULL,NULL,NULL,"135","700","38.5"
"B732","B732_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"149","2070","1840","1600","113.0",NULL,NULL,NULL,NULL,"141","750","38.3"
"B732","B732_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"155","2200","1930","1680","112.3",NULL,NULL,NULL,NULL,"152","790","19.5"
"B732","B732_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"156","2190","1920","1660","111.3",NULL,NULL,NULL,NULL,"184","910","19.3"
"B732","B732_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"179","2680","2270","1970","110.4","230","27.1","34.3","39.9","230","1020","18.9"
"B732","B732_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"214","3280","2680","2330","110.1","233","27.1","34.4","40.0","233","1040","18.6"
"B732","B732_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4170","3030","2540","108.7","272","31.2","37.0","41.4","240","1080","17.8"
"B732","B732_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","4030","2920","2440","104.7","280","31.2","37.0","41.5","280","1340","17.0"
"B732","B732_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","3890","2800","2330","100.8","289","31.3","37.1","41.7","289","1470","16.3"
"B732","B732_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"332","3770","2740","2290","98.3","297","31.3","37.2","41.8","332","1840","15.5"
"B732","B732_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"342","3590","2580","2150","94.2","306","31.4","37.3","41.9","342","1890","14.7"
"B732","B732_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"353","3390","2420","2000","90.2","353","36.7","41.6","45.4","353","1930","14.0"
"B732","B732_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"363","3180","2250","1840","86.1","363","36.8","41.7","45.5","363","1980","13.2"
"B732","B732_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"375","2960","2060","1680","82.0","375","36.8","41.8","45.6","375","2030","12.4"
"B732","B732_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"386","2720","1880","1510","77.8","386","36.8","41.8","45.7","386","2070","11.7"
"B732","B732_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"398","2480","1680","1330","73.7","398","36.7","41.9","45.8","398","2120","10.9"
"B732","B732_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"411","2230","1480","1140","69.5","411","36.7","41.9","45.9","411","2160","10.1"
"B732","B732_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"416","2670","1720","1280","65.1","424","36.7","42.0","46.0","416","2840","9.4"
"B732","B732_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"414","2550","1610","1160","62.7","426","36.1","41.5","45.7","414","2780","9.0"
"B732","B732_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"411","2290","1370","930","58.0","422","34.0","39.9","44.5","411","2680","8.2"
"B732","B732_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"407","2010","1110","680","53.4","419","32.2","38.7","43.7","407","2610","7.5"
"B732","B732_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"403","1710","840","410","48.7","415","30.6","37.7","43.3","403","2550","6.7"
"B732","B732_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"401","1310","520","110","44.1","413","29.4","37.2","41.2","401","2370","5.9"
"B732","B732_speed_laws","none","32640","44800","52300","250","280","0.70","250","280","0.72","250","280","0.70","37000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"B733","B733_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"157","2780","2590","2260","116.7",NULL,NULL,NULL,NULL,"143","770","33.4"
"B733","B733_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"158","2760","2570","2230","115.4",NULL,NULL,NULL,NULL,"144","790","33.0"
"B733","B733_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"159","2740","2540","2210","114.2",NULL,NULL,NULL,NULL,"150","840","32.8"
"B733","B733_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"166","2870","2630","2280","113.5",NULL,NULL,NULL,NULL,"161","860","21.5"
"B733","B733_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"167","2840","2600","2250","112.3",NULL,NULL,NULL,NULL,"193","1040","21.8"
"B733","B733_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"190","3340","2950","2550","111.9","230","25.3","31.6","37.9","230","1200","14.2"
"B733","B733_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"225","3970","3380","2900","112.5","233","25.3","31.7","38.0","233","1220","13.9"
"B733","B733_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4810","3630","2990","111.4","272","29.3","34.4","39.5","240","1260","13.3"
"B733","B733_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","4600","3460","2830","106.6","280","29.4","34.6","39.7","280","1540","12.7"
"B733","B733_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","4380","3280","2660","101.9","289","29.6","34.8","39.9","289","1580","12.1"
"B733","B733_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"356","4210","3190","2620","101.8","297","29.7","35.0","40.2","332","1970","11.4"
"B733","B733_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"366","3940","2960","2420","97.1","306","29.9","35.2","40.5","342","2020","10.8"
"B733","B733_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"377","3660","2720","2210","92.5","377","39.5","43.4","47.4","353","2070","10.2"
"B733","B733_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"388","3360","2480","2000","88.0","388","39.6","43.6","47.6","363","2120","9.6"
"B733","B733_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"400","3070","2250","1780","83.5","400","39.7","43.8","47.9","375","2170","9.0"
"B733","B733_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"412","2780","2010","1560","79.2","412","39.8","44.0","48.1","386","2210","8.4"
"B733","B733_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"425","2500","1770","1350","74.9","425","40.0","44.2","48.4","398","2260","7.8"
"B733","B733_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"438","2210","1530","1130","70.7","438","40.1","44.4","48.7","411","2300","7.2"
"B733","B733_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"452","2660","1790","1270","66.6","440","38.3","42.9","47.5","424","2350","6.6"
"B733","B733_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"450","2540","1680","1160","64.2","438","37.1","42.0","46.7","431","2370","6.2"
"B733","B733_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"446","2300","1460","940","59.5","434","34.9","40.2","45.4","434","3310","5.6"
"B733","B733_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"442","2050","1220","700","54.9","430","33.0","38.8","44.5","430","3170","5.0"
"B733","B733_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"438","1790","970","450","50.5","427","31.4","37.7","44.0","427","3070","4.4"
"B733","B733_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"436","1410","670","180","46.4","424","30.1","37.0","43.0","424","2790","3.8"
"B733","B733_speed_laws","none","39480","52500","62800","250","300","0.76","250","300","0.74","250","280","0.74","37000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"B734","B734_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"168","2820","2680","2370","145.1",NULL,NULL,NULL,NULL,"147","730","43.4"
"B734","B734_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"169","2780","2640","2340","143.4",NULL,NULL,NULL,NULL,"148","750","42.9"
"B734","B734_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"170","2760","2610","2310","141.8",NULL,NULL,NULL,NULL,"154","790","42.5"
"B734","B734_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"176","2880","2690","2380","140.2",NULL,NULL,NULL,NULL,"165","960","21.0"
"B734","B734_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"178","2850","2670","2350","138.6",NULL,NULL,NULL,NULL,"197","1040","20.8"
"B734","B734_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"201","3310","2990","2630","135.6","230","31.7","39.6","47.0","230","1220","11.2"
"B734","B734_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"236","3890","3380","2950","132.8","233","31.7","39.6","47.0","233","1240","11.2"
"B734","B734_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4530","3510","2940","126.9","272","34.9","41.0","46.8","240","1280","11.1"
"B734","B734_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","4320","3340","2770","120.7","280","34.9","41.0","46.9","280","1540","11.1"
"B734","B734_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","4120","3160","2610","114.7","289","34.8","41.0","46.9","289","1590","11.1"
"B734","B734_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"332","4000","3090","2570","109.2","297","34.8","41.0","46.9","332","1960","11.0"
"B734","B734_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"342","3750","2870","2370","103.4","306","34.8","41.0","46.9","342","2010","11.0"
"B734","B734_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"353","3500","2660","2180","97.8","353","39.2","44.3","49.0","353","2060","10.9"
"B734","B734_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"363","3240","2440","1970","92.3","363","39.1","44.2","49.0","363","2110","10.9"
"B734","B734_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"375","2980","2220","1770","87.0","375","39.0","44.1","49.0","375","2160","10.9"
"B734","B734_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"386","2720","1990","1550","81.7","386","38.9","44.0","48.9","386","2210","10.8"
"B734","B734_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"398","2450","1760","1340","76.7","398","38.7","44.0","48.9","398","2260","10.8"
"B734","B734_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"411","2190","1530","1130","71.8","411","38.6","43.9","48.9","411","2310","10.7"
"B734","B734_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"424","1920","1300","920","67.0","424","38.4","43.8","48.8","424","2360","10.7"
"B734","B734_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"431","1780","1180","820","64.6","431","38.3","43.7","48.8","431","2380","10.7"
"B734","B734_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"434","2120","1340","850","60.0","434","37.1","42.8","48.2","434","3200","10.6"
"B734","B734_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"430","1850","1080","590","55.5","430","35.4","41.7","47.6","430","3100","10.6"
"B734","B734_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"427","1570","810","320","51.1","427","34.0","40.9","47.4","427","3030","10.6"
"B734","B734_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"424","1200","500","40","46.9","424","32.9","40.5","44.1","424","2780","10.5"
"B734","B734_speed_laws","none","45000","58000","68000","250","280","0.74","250","280","0.74","250","280","0.74","37000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"B735","B735_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"161","2730","2500","2210","76.5",NULL,NULL,NULL,NULL,"139","740","20.8"
"B735","B735_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"162","2700","2460","2180","75.9",NULL,NULL,NULL,NULL,"140","760","20.6"
"B735","B735_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"163","2670","2430","2150","75.3",NULL,NULL,NULL,NULL,"146","800","20.9"
"B735","B735_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"170","2800","2510","2220","76.3",NULL,NULL,NULL,NULL,"157","960","15.4"
"B735","B735_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"171","2770","2480","2190","75.7",NULL,NULL,NULL,NULL,"189","1110","15.2"
"B735","B735_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"194","3250","2810","2480","80.8","230","18.9","25.0","29.8","230","1320","14.8"
"B735","B735_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"229","3860","3220","2830","88.9","233","19.1","25.3","30.1","233","1330","14.5"
"B735","B735_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4700","3430","2890","96.3","272","23.7","29.1","33.4","240","1370","13.8"
"B735","B735_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","4470","3230","2710","93.1","280","24.2","29.8","34.1","280","1620","13.1"
"B735","B735_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","4230","3040","2530","89.9","289","24.7","30.5","35.0","289","1650","12.4"
"B735","B735_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"332","4120","2980","2500","95.1","297","25.3","31.2","35.8","332","1970","11.7"
"B735","B735_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"342","3840","2760","2290","91.7","306","25.9","32.0","36.7","342","2010","11.0"
"B735","B735_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"353","3570","2540","2090","88.4","377","37.7","42.8","46.7","353","2040","10.3"
"B735","B735_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"363","3300","2320","1890","85.1","388","38.5","43.7","47.8","363","2080","9.6"
"B735","B735_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"375","3040","2100","1680","81.8","400","39.2","44.7","48.9","375","2110","8.9"
"B735","B735_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"386","2770","1890","1480","78.6","412","40.0","45.7","50.0","386","2150","8.2"
"B735","B735_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"398","2510","1680","1290","75.5","425","40.8","46.7","51.2","398","2180","7.5"
"B735","B735_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"411","2260","1470","1100","72.4","438","41.7","47.7","52.4","411","2220","6.8"
"B735","B735_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"424","2010","1260","910","69.4","452","42.4","48.7","53.6","424","2250","6.2"
"B735","B735_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"431","1890","1150","820","67.9","450","41.1","47.6","52.7","431","2270","5.8"
"B735","B735_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"434","2300","1340","880","63.8","446","38.6","45.7","51.2","434","3040","5.1"
"B735","B735_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"430","2060","1110","650","58.9","442","36.4","44.1","50.1","430","2950","4.4"
"B735","B735_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"427","1820","890","420","54.5","438","34.5","42.9","49.5","427","2880","3.7"
"B735","B735_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"424","1490","620","180","50.5","436","33.0","42.3","48.6","424","2640","3.0"
"B735","B735_speed_laws","none","37896","52000","60680","250","280","0.74","250","300","0.76","250","280","0.74","37000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"B736","B736_FL000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"144","2620","2590","2310","132.1",NULL,NULL,NULL,NULL,"134","640","35.7"
"B736","B736_FL005","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"145","2610","2560","2280","130.9",NULL,NULL,NULL,NULL,"135","660","35.4"
"B736","B736_FL010","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"146","2600","2550","2270","129.8",NULL,NULL,NULL,NULL,"141","700","35.0"
"B736","B736_FL015","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"152","2740","2650","2360","128.7",NULL,NULL,NULL,NULL,"152","710","20.6"
"B736","B736_FL020","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"153","2730","2640","2350","127.6",NULL,NULL,NULL,NULL,"184","910","20.4"
"B736","B736_FL030","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"177","3250","3030","2690","125.3","230","28.7","32.6","37.1","230","950","14.6"
"B736","B736_FL040","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"211","3890","3500","3080","123.1","233","28.7","32.6","37.1","233","970","14.3"
"B736","B736_FL060","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"272","4730","3890","3310","118.6","272","33.1","36.2","39.7","240","1020","13.8"
"B736","B736_FL080","80",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"280","4590","3760","3200","114.1","280","33.1","36.1","39.6","280","1390","13.3"
"B736","B736_FL100","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"289","4440","3630","3080","109.7","289","33.0","36.1","39.6","289","1440","12.8"
"B736","B736_FL120","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"332","4250","3500","2980","105.2","297","32.9","36.0","39.5","332","1960","12.3"
"B736","B736_FL140","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"342","4050","3330","2820","100.8","306","32.8","35.9","39.5","342","2020","11.8"
"B736","B736_FL160","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"353","3850","3150","2660","96.4","353","38.2","40.7","43.5","353","2080","11.3"
"B736","B736_FL180","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"363","3630","2960","2480","92.0","363","38.0","40.5","43.4","363","2150","10.8"
"B736","B736_FL200","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"375","3400","2760","2300","87.6","375","37.8","40.3","43.2","375","2000","12.8"
"B736","B736_FL220","220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"386","3170","2550","2110","83.2","386","37.6","40.1","43.1","386","2070","12.2"
"B736","B736_FL240","240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"398","2920","2340","1910","78.8","398","37.4","39.9","42.9","398","2130","11.5"
"B736","B736_FL260","260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"411","2660","2110","1690","74.4","411","37.1","39.7","42.7","411","2200","10.9"
"B736","B736_FL280","280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"424","2390","1870","1480","70.0","424","36.9","39.5","42.5","424","2270","10.3"
"B736","B736_FL290","290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"431","2250","1740","1370","67.8","431","36.7","39.4","42.4","431","2300","9.9"
"B736","B736_FL310","310",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"444","1970","1500","1140","63.5","444","36.4","39.1","42.2","444","2370","9.3"
"B736","B736_FL330","330",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"454","2410","1780","1310","59.1","454","35.6","38.3","41.5","454","3340","8.7"
"B736","B736_FL350","350",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"450","2180","1560","1090","54.8","450","33.3","36.4","39.8","450","3160","8.0"
"B736","B736_FL370","370",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"447","1770","1210","770","50.5","447","31.4","34.7","38.5","447","2780","7.4"
"B736","B736_FL390","390",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"447","1510","960","520","46.1","447","29.7","33.4","37.6","447","2710","6.8"
"B736","B736_FL410","410",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"447","1230","680","240","41.8","447","28.3","32.4","36.9","447","2660","6.1"
"B736","B736_speed_laws","none","44400","55000","65000","250","280","0.78","250","280","0.78","250","280","0.78","41000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
